id,weight_kg,pickup_lat,pickup_lon,delivery_lat,delivery_lon,pickup_time,delivery_time
F1,450.0,52.3676,4.9041,50.8503,4.3517,0.0,25200.0
F2,520.0,50.8503,4.3517,51.9225,4.4792,3600.0,21600.0
F3,380.0,51.9225,4.4792,49.6116,6.1319,7200.0,32400.0
F4,490.0,49.6116,6.1319,52.3676,4.9041,10800.0,32400.0
F5,550.0,52.3676,4.9041,51.2194,4.4025,14400.0,21600.0
F6,420.0,51.2194,4.4025,50.8503,4.3517,18000.0,25200.0
F7,480.0,50.8503,4.3517,50.9375,6.9603,21600.0,32400.0
F8,510.0,50.9375,6.9603,52.0907,5.1214,25200.0,32400.0
F9,440.0,52.0907,5.1214,51.9225,4.4792,28800.0,36000.0
F10,500.0,51.9225,4.4792,49.6116,6.1319,32400.0,39600.0
F11,470.0,49.6116,6.1319,50.8503,4.3517,36000.0,43200.0
F12,530.0,50.8503,4.3517,52.3676,4.9041,39600.0,46800.0
