id,weight_kg,pickup_lat,pickup_lon,delivery_lat,delivery_lon,pickup_time,delivery_time
F1,5200.0,38.7223,-9.1393,52.5200,13.4050,0.0,280800.0
F2,4800.0,40.4168,-3.7038,52.3676,4.9041,3600.0,248400.0
F3,5500.0,41.3851,2.1734,48.2082,16.3738,7200.0,234000.0
F4,4600.0,48.8566,2.3522,41.9028,12.4964,10800.0,255600.0
F5,5000.0,52.5200,13.4050,40.4168,-3.7038,14400.0,266400.0
F6,4900.0,50.8503,4.3517,38.7223,-9.1393,18000.0,273600.0
F7,5300.0,52.3676,4.9041,41.3851,2.1734,21600.0,248400.0
F8,4700.0,41.9028,12.4964,52.5200,13.4050,25200.0,241200.0
F9,5100.0,48.2082,16.3738,50.8503,4.3517,28800.0,234000.0
F10,4950.0,40.4168,-3.7038,48.8566,2.3522,32400.0,226800.0
