id,weight_kg,pickup_lat,pickup_lon,delivery_lat,delivery_lon,pickup_time,delivery_time
F1,180.0,52.3676,4.9041,51.9225,4.4792,0.0,7200.0
F2,220.0,51.9225,4.4792,52.0705,4.3007,1800.0,9000.0
F3,150.0,52.0907,5.1214,52.3676,4.9041,3600.0,10800.0
F4,195.0,52.3676,4.9041,52.5200,6.0833,5400.0,12600.0
F5,240.0,51.8126,4.6900,51.9225,4.4792,7200.0,14400.0
F6,170.0,52.0705,4.3007,52.3676,4.9041,9000.0,16200.0
F7,210.0,52.3676,4.9041,52.0907,5.1214,10800.0,18000.0
F8,160.0,52.5200,6.0833,51.8126,4.6900,12600.0,19800.0
F9,230.0,51.9225,4.4792,52.0705,4.3007,14400.0,21600.0
F10,185.0,52.0907,5.1214,52.5200,6.0833,16200.0,23400.0
F11,200.0,52.3676,4.9041,51.8126,4.6900,18000.0,25200.0
F12,175.0,51.8126,4.6900,52.3676,4.9041,19800.0,27000.0
