id,weight_kg,pickup_lat,pickup_lon,delivery_lat,delivery_lon,pickup_time,delivery_time
F1,800.0,40.4168,-3.7038,41.3851,2.1734,0.0,54000.0
F2,650.0,41.3851,2.1734,38.7223,-9.1393,3600.0,82800.0
F3,720.0,38.7223,-9.1393,37.3891,-5.9845,7200.0,68400.0
F4,580.0,37.3891,-5.9845,40.4168,-3.7038,10800.0,61200.0
F5,900.0,40.4168,-3.7038,39.4699,-0.3763,14400.0,46800.0
F6,750.0,39.4699,-0.3763,41.3851,2.1734,18000.0,43200.0
F7,680.0,41.3851,2.1734,43.3614,-5.8593,21600.0,50400.0
F8,820.0,43.3614,-5.8593,41.6488,-0.8891,25200.0,46800.0
F9,710.0,41.6488,-0.8891,40.4168,-3.7038,28800.0,43200.0
F10,640.0,40.4168,-3.7038,38.7223,-9.1393,32400.0,79200.0
F11,780.0,38.7223,-9.1393,41.1579,-8.6291,36000.0,54000.0
F12,850.0,41.1579,-8.6291,43.3614,-5.8593,39600.0,61200.0
F13,590.0,43.3614,-5.8593,40.4168,-3.7038,43200.0,61200.0
F14,730.0,40.4168,-3.7038,37.3891,-5.9845,46800.0,64800.0
F15,670.0,39.4699,-0.3763,38.7223,-9.1393,50400.0,93600.0
