id,weight_kg,pickup_lat,pickup_lon,delivery_lat,delivery_lon,pickup_time,delivery_time
F1,200.0,40.7128,-74.0060,40.7589,-73.9851,0.0,7200.0
F2,4500.0,41.8781,-87.6298,29.7604,-95.3698,1800.0,172800.0
F3,180.0,40.7614,-73.9776,40.7282,-73.7949,3600.0,10800.0
F4,5000.0,37.7749,-122.4194,40.7128,-74.0060,5400.0,216000.0
F5,250.0,40.6782,-73.9442,40.7128,-74.0060,7200.0,14400.0
F6,3800.0,33.4484,-112.0740,41.8781,-87.6298,9000.0,158400.0
F7,190.0,40.7580,-73.9855,40.6895,-74.0445,10800.0,18000.0
F8,4200.0,47.6062,-122.3321,33.4484,-112.0740,12600.0,144000.0
F9,220.0,40.7489,-73.9680,40.7614,-73.9776,14400.0,21600.0
F10,5500.0,29.7604,-95.3698,37.7749,-122.4194,16200.0,194400.0
F11,170.0,40.7128,-74.0060,40.7580,-73.9855,18000.0,25200.0
F12,4000.0,39.7392,-104.9903,29.7604,-95.3698,19800.0,151200.0
F13,240.0,40.6895,-74.0445,40.7489,-73.9680,21600.0,28800.0
F14,3600.0,25.7617,-80.1918,47.6062,-122.3321,23400.0,187200.0
F15,210.0,40.7282,-73.7949,40.6782,-73.9442,25200.0,32400.0
F16,4800.0,32.7157,-117.1611,40.7128,-74.0060,27000.0,180000.0
F17,195.0,40.7589,-73.9851,40.7128,-74.0060,28800.0,36000.0
F18,5200.0,30.2672,-97.7431,41.8781,-87.6298,30600.0,165600.0
F19,160.0,40.7614,-73.9776,40.7282,-73.7949,32400.0,39600.0
F20,4400.0,33.7490,-84.3880,37.7749,-122.4194,34200.0,201600.0
